,Inspector,Violations,Address
1645,Juanicia Page,"['31', '39', '45']",1702  LOOP 410 SW
1646,Juanicia Page,"['31', '45']",7003  NEW HWY 90 W
1647,Kathleen Prenzler,"['10', '18', '21', '29', '30', '36', '37', '39', '45', '47']",2639  LOOP 410 NE
1648,Kacie Patrick,"['9', '14', '18', '21', '22', '29', '29', '33', '34', '39']",20718  STONE OAK PY
1649,William Hudson,[],1150  N FM 1604 W
1650,Debra Hernandez,"['2', '30']",902  24TH ST NW
1651,Juanicia Page,['36'],3635  CROOKED TRAIL
1652,Amanda Cantu,"['22', '35', '35', '35', '42', '43', '47']",2014  W W WHITE RD S
1653,Adan Zamora,"['10', '19', '27', '28', '29', '30', '31', '31', '33', '37', '40', '42', '45', '47', '47']",2710  PRESA ST S
1654,Deborah Liu,[],9203  CINNAMON HILL
1655,Deborah Liu,"['9', '39', '41', '42', '45']",9505  FREDSBG RD
1656,MICHELLE MORENO,"['20', '21', '22', '31']",6301  LOOP 410 NW       #VC11
1657,Kathleen Prenzler,"['11', '21']",20  LYNN BATTS LN
1658,Kathleen Prenzler,"['10', '21']",10  LYNN BATTS LN
1659,Deborah Liu,[],4805  MEDICAL DR
1660,RYAN DAVIS,[],16580  HUEBNER RD
1661,Debra Hernandez,"['2', '30']",1330  CULEBRA RD
1662,Adan Zamora,"['2', '18', '19', '28', '30', '37', '39', '45']",3500  PRESA ST S
1663,William Hudson,"['32', '37', '44']",17676  BLANCO RD
1664,Debra Hernandez,"['31', '36', '42', '43', '45']",1002  BANDERA RD        #1
1665,Debra Hernandez,"['2', '47']",104  DONALDSON AV
1666,Raul Jimenez,"['7', '10', '21', '29', '29', '34', '45']",1615  WEST AV
1667,Deborah Liu,"['9', '39']",11426  IH 10 W
1668,Monica Caballero,"['30', '31', '37', '42', '42', '45']",5432  OLD HWY 90 W
1669,Daniel Guzman,"['2', '7', '30', '31', '43', '46']",680  GILLETTE BV
1670,Debra Hernandez,"['2', '21', '22', '30', '39']",3941  FREDSBG RD
1671,Amanda Cantu,['21'],4922  RIGSBY AV         #B/2
1672,Juanicia Page,['22'],6511  MILITARY DR W
1673,Mario Cavazos,"['2', '21', '22', '28', '30', '31', '33', '41', '46']",2614  COMMERCE ST W     #400
1674,Daniel Guzman,"['2', '7']",2302  COMMERCIAL AV
1675,Raul Jimenez,"['18', '28', '31', '35', '39', '40', '42', '43']",1609  WEST AV
1676,Mario Cavazos,"['2', '3', '6', '33', '46']",826  ZARZAMORA ST S
1677,Kacie Patrick,"['9', '18', '33', '37', '38', '39', '39', '42', '42', '45', '45']",19239  STONE OAK PY      #110
1678,Monica Caballero,"['19', '23', '30', '34', '34']",1557  19TH ST SW
1679,William Hudson,"['21', '30', '46', '47']",1435  N 1604 W
1680,Deborah Liu,[],4711  SID KATZ DR
1681,Daisy Zamora,[],4135  THOUSAND OAKS
1682,William Hudson,"['24', '47', '47']",1203  N FM 1604 W   STE.
1683,Kathleen Prenzler,['30'],1600  LAWNDALE DR W
1684,Daisy Zamora,"['18', '28', '29', '30', '31', '39', '43', '45', '46', '46', '47', '47', '47']",3023  THOUSAND OAKS     #106
1685,Mario Cavazos,"['2', '21', '33']",827  ZARZAMORA ST S
1686,MICHELLE MORENO,"['9', '21']",6301  LOOP 410 NW       #VC11
1687,RYAN DAVIS,"['29', '45', '45', '45']",13403  BLANCO RD
1688,Amanda Cantu,"['18', '21', '30', '33', '35', '42', '42', '45', '45']",5031  RIGSBY AV
