,DISTRICT,ESTABLISHMENT ADDRESS,ESTABLISHMENT NAME,INSPECTION DATE,LINK,SECTOR,TOTAL SCORE
57,C,"2503 BROADWAY San Antonio, TX 782151037",FRATELLO'S ITALIAN MARKET & DELI,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412940&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,19,95
58,A,"17623 LA CANTERA PKW San Antonio, TX 782570",GLORIA'S LATIN CUISINE,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413001&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,4,90
59,B,"1710 AUSTIN HWY San Antonio, TX 782181711",H & H CHEVRON,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413016&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,17,100
60,C,"1014 ALAMO ST S San Antonio, TX 782040",HOT JOY,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413014&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,27,86
61,D,"7428 MILITARY DR W San Antonio, TX 782272949",JC FOOD MART #2,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412944&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,33,100
62,A,"22211 IH 10 W San Antonio, TX 782560",KIN THAI-SUSHI,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412951&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,4,92
63,C,"2718 ST MARYS N San Antonio, TX 782123742",LIMELIGHT,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413028&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,19,99
64,D,"7833 IH 35 S San Antonio, TX 782240",LONGHORN STEAKHOUSE #5367,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412993&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,36,97
65,D,"7422 MILITARY DR W San Antonio, TX 782272949",LOSE WEIGHT NOW,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412948&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,33,98
66,D,"5106 COMMERCE ST W San Antonio, TX 782371554",M & I GROCERY STORE,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412977&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,28,99
67,C,"123 LOSOYA San Antonio, TX 782052678",MAD DOGS SAN ANTONIO #,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412967&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,22,87
68,A,"5152 FREDSBG RD San Antonio, TX 782290",MADURAI MES,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413027&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,7,79
